binomial,calculated_rarity,output_rarity,justification
"Lasioglossum xanthopus: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum sexnotatum: iso. Amiet et al: 2001","NR","NR",""
"Lasioglossum quadrinotatum: iso. Amiet et al: 2001","NS","NS",""
"Lasioglossum prasinum: iso. Amiet et al: 2001","NS","NS",""
"Lasioglossum leucozonium: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum lativentre: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum laevigatum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum villosulum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum semilucens: iso. Amiet et al: 2001","NS","NS",""
"Lasioglossum rufitarse: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum puncticolle: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum punctatissimum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum pauxillum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum pauperatum: iso. Amiet et al: 2001","NS","NS",""
"Lasioglossum parvulum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum nitidiusculum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum minutissimum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum malachurum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum laticeps: iso. Amiet et al: 2001","NR","NR",""
"Lasioglossum fulvicorne: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum fratellum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum calceatum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum brevicorne: iso. Amiet et al: 2001","NS","NS",""
"Lasioglossum angusticeps: iso. Amiet et al: 2001","NR","NR",""
"Lasioglossum albipes: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum smeathmanellum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum sexstrigatum: iso. Amiet et al: 2001","NR","NR",""
"Lasioglossum morio: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum leucopus: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum cupromicans: iso. Amiet et al: 2001","NF","NF",""
"Mimumesa unicolor: iso. Bitsch et al: 2001","NS","NS",""
"Mimumesa spooneri: iso. Bitsch et al: 2001","NR","NR",""
"Mimumesa littoralis: iso. Bitsch et al: 2001","NS","NS",""
"Mimumesa dahlbomi: iso. Bitsch et al: 2001","NF","NF",""
"Mimumesa atratina: iso. Bitsch et al: 2001","NR","NR",""
"Haplogonatopus oratorius: iso. Olmi: 1994","NR","ID",""
"Paratrechina longicornis: iso. Bolton & Collingwood: 1975","NR","NR",""
"Polistes dominula: iso. Dvorak & Roberts: 2006","NR","NR",""
"Tiphia minuta: iso. Richards: 1980","NF","NF",""
"Tiphia femorata: iso. Richards: 1980","NF","NF",""
"Lindenius panzeri: iso. Richards: 1988","NF","NF",""
"Lindenius albilabris: iso. Richards: 1980","NF","NF",""
"Monosapyga clavicornis: iso. Amiet: 2008","NS","NS",""
"Philanthus triangulum: iso. Richards: 1980","NF","NF",""
"Leptothorax acervorum: iso. Bolton & Collingwood: 1975","NF","NF",""
"Dasypoda hirtipes: iso. Amiet et al: 2007","NF","NF",""
"Podalonia hirsuta: iso. Richards: 1980","NS","NS",""
"Podalonia affinis: iso. Richards: 1980","NS","NS",""
"Cryptocheilus notatus: iso. Day: 1988","NS","NS",""
"Ceratina cyanea: iso. Amiet et al: 2007","NS","NS",""
"Harpactus tumidus: iso. Bitsch et al: 1997","NF","NF",""
"Chrysis vanlithi: iso. Paukkunen et al: 2015","NF","NF",""
"Chrysis corusca: iso. Smissen: 2010","NR","ID",""
"Chrysis viridula: iso. Morgan: 1984","NF","NF",""
"Chrysis ruddii: iso. Morgan: 1984","NS","NS",""
"Chrysis fulgida: iso. Morgan: 1984","NR","NR",""
"Episyron rufipes: iso. Day: 1988","NF","NF",""
"Auplopus carbonarius: iso. Day: 1988","NF","NF",""
"Coelioxys rufescens: iso. Amiet et al: 2004","NF","NF",""
"Coelioxys quadridentata: iso. Amiet et al: 2004","NR","ID",""
"Coelioxys mandibularis: iso. Amiet et al: 2004","NS","NS",""
"Coelioxys inermis: iso. Amiet et al: 2004","NF","NF",""
"Coelioxys elongata: iso. Amiet et al: 2004","NF","NF",""
"Coelioxys conoidea: iso. Amiet et al: 2004","NF","NF",""
"Eumenes papillarius: iso. Archer: 2014","NR","ID",""
"Eumenes coarctatus: iso. Richards: 1980","NS","NS",""
"Eucera longicornis: iso. Amiet et al: 2007","NF","NF",""
"Hypoponera punctatissima: iso. Seifert: 2018","NR","NR",""
"Halictus tumulorum: iso. Amiet et al: 2001","NF","NF",""
"Halictus confusus: iso. Amiet et al: 2001","NS","NS",""
"Halictus rubicundus: iso. Amiet et al: 2001","NF","NF",""
"Halictus eurygnathus: iso. Amiet et al: 2001","NR","NR",""
"Strongylognathus testaceus: iso. Bolton & Collingwood: 1975","NR","ID",""
"Trichrysis cyanea: iso. Morgan: 1984","NF","NF",""
"Osmia cornuta: iso. Amiet et al: 2004","NR","NR",""
"Osmia bicornis: iso. Amiet et al: 2004","NF","NF",""
"Osmia bicolor: iso. Amiet et al: 2004","NF","NF",""
"Osmia xanthomelana: iso. Amiet et al: 2004","NR","NR",""
"Osmia uncinata: iso. Else & Edwards: 1996","NS","NS",""
"Osmia pilicornis: iso. Amiet et al: 2004","NS","NS",""
"Osmia parietina: iso. Amiet et al: 2004","NS","NS",""
"Osmia inermis: iso. Amiet et al: 2004","NR","NR",""
"Osmia aurulenta: iso. Amiet et al: 2004","NF","NF",""
"Osmia leaiana: iso. Amiet et al: 2004","NF","NF",""
"Osmia niveata: iso. Amiet et al: 2004","NR","NR",""
"Osmia caerulescens: iso. Amiet et al: 2004","NF","NF",""
"Osmia spinulosa: iso. Amiet et al: 2004","NF","NF",""
"Melitta tricincta: iso. Amiet et al: 2007","NF","NF",""
"Melitta leporina: iso. Amiet et al: 2007","NF","NF",""
"Melitta haemorrhoidalis: iso. Amiet et al: 2007","NF","NF",""
"Melitta dimidiata: iso. Amiet et al: 2007","NR","NR",""
"Megachile maritima: iso. Perkins: 1925","NF","NF",""
"Megachile circumcincta: iso. Perkins: 1925","NS","NS",""
"Megachile versicolor: iso. Perkins: 1925","NF","NF",""
"Megachile ligniseca: iso. Perkins: 1925","NF","NF",""
"Megachile centuncularis: iso. Perkins: 1925","NF","NF",""
"Megachile leachella: iso. Scheuchl: 2006","NF","NF",""
"Megachile willughbiella: iso. Perkins: 1925","NF","NF",""
"Ectemnius lituratus: iso. Richards: 1980","NF","NF",""
"Ectemnius cephalotes: iso. Richards: 1980","NF","NF",""
"Ectemnius rubicola: iso. Richards: 1980","NF","NF",""
"Ectemnius continuus: iso. Richards: 1980","NF","NF",""
"Ectemnius dives: iso. Richards: 1980","NF","NF",""
"Ectemnius borealis: iso. Richards: 1980","NR","NR",""
"Ectemnius sexcinctus: iso. Richards: 1980","NF","NF",""
"Ectemnius ruficornis: iso. Richards: 1980","NF","NF",""
"Ectemnius lapidarius: iso. Richards: 1980","NF","NF",""
"Ectemnius cavifrons: iso. Richards: 1980","NF","NF",""
"Nitela lucens: iso. Bitsch et al: 2001","NS","NS",""
"Nitela borealis: iso. Bitsch et al: 2001","NR","NR",""
"Lasius psammophilus: iso. Seifert: 2007","NS","NS",""
"Lasius neglectus: iso. Seifert: 2007","NR","ID",""
"Lasius alienus: iso. Seifert: 2007","NF","NF",""
"Lasius niger: iso. Seifert: 1992","NF","NF",""
"Lasius umbratus: iso. Seifert: 1988","NS","ID",""
"Lasius sabularum: iso. Seifert: 1988","NS","ID",""
"Lasius platythorax: iso. Seifert: 1992","NF","NF",""
"Lasius mixtus: iso. Seifert: 1988","NS","ID",""
"Lasius meridionalis: iso. Seifert: 1988","NS","ID",""
"Lasius fuliginosus: iso. Bolton & Collingwood: 1975","NF","NF",""
"Lasius flavus: iso. Bolton & Collingwood: 1975","NF","NF",""
